Export;EXP-2024-001 (2024-04-15T14:51:39+01:00);;;StationsCode;NL10107;NL10131;NL10133;NL10136;NL10138;NL10230;NL10235;NL10236;NL10237;NL10240;NL10241;NL10246;NL10247;NL10248;NL10301;NL10318;NL10404;NL10418;NL10437;NL10442;NL10444;NL10445;NL10446;NL10449;NL10450;NL10538;NL10550;NL10617;NL10633;NL10636;NL10639;NL10641;NL10643;NL10644;NL10722;NL10738;NL10741;NL10742;NL10807;NL10818;NL10918;NL10929;NL10934;NL10937;NL10938
Periode;2024-03-01T00:00:00+01:00 - 2024-04-01T00:00:00+01:00;;;BeheerderMeetStation;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM
Bron;https://data.rivm.nl/data/luchtmeetnet;;;StationsNaam;Posterholt-Vlodropperweg;Vredepeel-Vredeweg;Wijnandsrade-Opfergeltstraat;Heerlen-Looierstraat;Heerlen-Jamboreepad;Biest Houtakker-Biestsestraat;Huijbergen-Vennekenstraat;Eindhoven-Genovevalaan;Eindhoven-Noordbrabantlaan;Breda-Tilburgseweg;Breda-Bastenakenstraat;Fijnaart-Zwingelspaansedijk;Veldhoven-Europalaan;Nistelrode-Gagelstraat;Zierikzee-Lange Slikweg;Philippine-Stelleweg;Den Haag-Rebecquestraat;Rotterdam-Schiedamsevest;Westmaas-Groeneweg;Dordrecht-Bamendaweg;De Zilk-Vogelaarsdreef;Den Haag-Veerkade;Den Haag-Bleriotlaan;Vlaardingen-Riouwlaan;Den Haag-Neherkade;Wieringerwerf-Medemblikkerweg;Haarlem-Schipholweg;Biddinghuizen-Kuilweg;Zegveld-Oude Meije;Utrecht-Kardinaal de Jongweg;Utrecht-Constant Erzeijstraat;Breukelen-Snelweg;Utrecht-Griftpark;Cabauw-Wielsekade;Eibergen-Lintveldseweg;Wekerom-Riemterdijk;Nijmegen-Graafseweg;Nijmegen-Ruyterstraat;Hellendoorn-Luttenbergerweg;Barsbeek-De Veenen;Balk-Trophornsterweg;Valthermond-Noorderdiep;Kollumerwaard-Hooge Zuidwal;Groningen-Europaweg;Groningen-Nijensteinheerd
Beschrijving data;https://data.rivm.nl/data/luchtmeetnet/readme.pdf;;;Latitude,Longitude;(51.119194,6.042399);(51.54052,5.85307);(50.902281,5.881748);(50.887959,5.970496);(50.900317,5.986853);(51.51844,5.14845);(51.434443,4.359835);(51.468662,5.47235);(51.444157,5.444833);(51.593533,4.824944);(51.60308,4.781016);(51.653729,4.515271);(51.407365,5.393328);(51.698187,5.54332);(51.634706,3.916623);(51.294498,3.749484);(52.077148,4.289185);(51.914233,4.479923);(51.786579,4.450529);(51.800658,4.708239);(52.296556,4.510817);(52.075071,4.315872);(52.039023,4.359376);(51.914883,4.32943);(52.062537,4.318551);(52.803657,5.050509);(52.370508,4.642319);(52.423214,5.593378);(52.13795,4.83819);(52.105031,5.124464);(52.067748,5.120507);(52.20153,4.987444);(52.101308,5.128183);(51.974489,4.923301);(52.091801,6.605367);(52.111621,5.708419);(51.841372,5.857777);(51.838221,5.856938);(52.388272,6.402933);(52.654144,6.017571);(52.916915,5.573491);(52.875725,6.932432);(53.330425,6.276815);(53.217796,6.578901);(53.246535,6.608937)
Accreditatienummer;https://www.rva.nl/alle-geaccrediteerden/;;;StationsGebied;regionaal;regionaal;regionaal;stad;stad;regionaal;regionaal;stad;stad;stad;stad;regionaal;stad;regionaal;regionaal;regionaal;stad;stad;regionaal;stad;regionaal;stad;stad;stad;stad;regionaal;stad;regionaal;regionaal;stad;stad;regionaal;stad;regionaal;regionaal;regionaal;stad;stad;regionaal;regionaal;regionaal;regionaal;regionaal;stad;stad
;;;;StationsType;achtergrond;achtergrond;achtergrond;verkeer;achtergrond;achtergrond;achtergrond;verkeer;verkeer;verkeer;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;verkeer;achtergrond;verkeer;verkeer;achtergrond;verkeer;achtergrond;achtergrond;verkeer;verkeer;verkeer;achtergrond;achtergrond;achtergrond;achtergrond;verkeer;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;verkeer;achtergrond
;;;;Meetprincipe;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie
;;;;Meetopstelling;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser
;;;;Accreditatienummer;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL10107;NL10131;NL10133;NL10136;NL10138;NL10230;NL10235;NL10236;NL10237;NL10240;NL10241;NL10246;NL10247;NL10248;NL10301;NL10318;NL10404;NL10418;NL10437;NL10442;NL10444;NL10445;NL10446;NL10449;NL10450;NL10538;NL10550;NL10617;NL10633;NL10636;NL10639;NL10641;NL10643;NL10644;NL10722;NL10738;NL10741;NL10742;NL10807;NL10818;NL10918;NL10929;NL10934;NL10937;NL10938
NO2;uur;µg/m³;2024-03-01T00:00:00+01:00;2024-03-01T01:00:00+01:00;4.28;7.51;4.73;4.22;4.2;3.86;9.93;9.93;6.43;6.51;5.59;4.58;6.16;8.83;12.95;4.5;16.07;7.71;5.12;4.06;8.64;14.32;11.7;20.36;14.31;8.28;6.69;6.32;5;8.56;10.17;7.34;8.73;6.76;19.27;7.06;9.33;8.42;9.46;6.46;6.02;11;10.07;12.87;11.59
NO2;uur;µg/m³;2024-03-01T01:00:00+01:00;2024-03-01T02:00:00+01:00;3.55;6.38;3.91;3.85;4.14;2.95;11.93;8.82;5.22;6.14;3.54;4.15;4.72;9.43;9.89;4.16;15.56;6.6;4.72;3.58;6.83;11.18;9.96;22.4;11.77;9.99;6.58;5.27;5.05;6.41;6.9;6.21;6.54;6.46;18.65;7.45;8.36;7.12;11.98;5.57;4.71;10.23;6.29;11.93;11.75
NO2;uur;µg/m³;2024-03-01T02:00:00+01:00;2024-03-01T03:00:00+01:00;3.15;4.79;2.77;3.43;3.67;2.89;12.06;8.94;4.86;6.38;3.41;3.99;4.24;6.41;3.1;3.95;14.04;8.4;4.45;2.87;6.34;11.55;9.99;16.91;10.9;12.71;5.28;5.35;5.68;5.16;5.13;5.76;5.53;5.3;18.81;7.56;6.85;6.19;11.94;6.83;4.16;8.92;4.34;10.9;10.92
NO2;uur;µg/m³;2024-03-01T03:00:00+01:00;2024-03-01T04:00:00+01:00;5.26;4.42;1.94;2.93;3.09;2.46;2.17;6.46;3.39;3.66;3.13;3.24;2.9;5.65;1.96;7.57;2.84;7.65;2.65;6.62;4.74;3.57;2.57;12.33;2.87;10.34;4.07;4.85;3.88;4.64;4.53;5.02;4.74;5.13;13.33;6.92;7.16;6.14;13.15;8.17;3.73;8.78;5.04;9.54;8.69
NO2;uur;µg/m³;2024-03-01T04:00:00+01:00;2024-03-01T05:00:00+01:00;2.97;4.85;1.41;2.69;2.93;2.08;2.87;3.28;3.15;5.58;3.68;3.06;2.01;4.72;2.28;5.06;3.18;6.18;3.09;11.5;1.29;4.27;2.21;16.34;4.44;8.16;4.29;4.16;2.04;5.29;3.39;5.28;6.38;4.17;16.99;6.13;6.93;6.03;16;9.07;3.73;8.2;6.41;9.47;8.11
NO2;uur;µg/m³;2024-03-01T05:00:00+01:00;2024-03-01T06:00:00+01:00;4.12;3.89;2.42;4.02;3.43;1.96;8.72;4.25;6.33;8.67;6.2;2.79;1.74;3.22;3.17;3.86;6.61;25.3;2.52;6;1.63;11.24;10;15.15;25.66;1.37;4.12;3.13;2.13;7.11;4.99;8.9;5.34;3.51;20.64;4.45;7.38;5.19;13.13;10.24;3.9;8.39;7.89;10.28;7.83
NO2;uur;µg/m³;2024-03-01T06:00:00+01:00;2024-03-01T07:00:00+01:00;7.67;5.46;3.58;6.81;4.71;9.67;9.08;6.97;19.05;20.12;12.51;8.16;6.44;3.86;8.2;6.82;29.11;29.18;6.35;8.85;2.56;31.17;40.7;44.98;61.58;2.37;11.69;2.39;3.79;12.3;12.79;24.67;8.03;8.69;17.51;2.69;11.76;7.68;9.63;6.96;1.26;8.97;8.62;13.59;9.18
NO2;uur;µg/m³;2024-03-01T07:00:00+01:00;2024-03-01T08:00:00+01:00;8.66;15.06;5.73;16.74;7.14;9.2;16.86;14.39;24.78;31.43;21.13;11.1;12.06;4.62;10.67;8.36;54.64;31.33;9.83;17.72;12.81;48.48;30.78;35.74;54.34;7.14;20.67;4.65;14.08;21.11;29.49;29.57;13.73;10.93;10.43;3.86;18.34;11.36;6.34;2.72;1.43;11.53;7.39;15.2;11.51
NO2;uur;µg/m³;2024-03-01T08:00:00+01:00;2024-03-01T09:00:00+01:00;7.61;8.4;8.45;18.74;7.18;8.14;22.65;13.88;27.81;40.15;20.49;15.47;11.86;7.36;10.76;10.6;38.96;22.7;15.6;16.89;24.4;29.78;26.99;29.19;41.78;7.97;29.48;5.07;11.59;21.86;35.81;33.92;15.41;12.66;6.47;7.75;17.91;13.2;3.03;4.79;1.83;7.62;1.85;13.05;7.3
NO2;uur;µg/m³;2024-03-01T09:00:00+01:00;2024-03-01T10:00:00+01:00;7.55;6;8.01;21.85;12.87;7.42;10.31;10.66;15.67;25.68;13.94;13.16;9.02;7.54;9.03;6.85;28.61;25.05;17.35;12.1;19.09;24.18;20.19;23.15;30.04;12.82;25.01;8.54;13.23;20.3;23.35;21.41;16.72;13.3;6.89;10.76;15.77;11.35;5.65;5.21;4.52;2.43;2.23;12.92;5.07
