model_name,mse_loss_O3,mae_loss_O3,mse_loss_NO2,mae_loss_NO2
Elastic Net,0.013508959389608022,0.09452486449298747,0.008181462050826798,0.07935110020186219
MLP,0.006348354537429529,0.061263049343600044,0.0040753307955762675,0.0453376602493579
LSTM,0.007809435753695623,0.0700978361721337,0.005121060506225022,0.05693283893692692
