loss,mae,val_loss,val_mae
0.12048440426588058,0.12048440426588058,0.09396588802337646,0.09396588802337646
0.08548028022050858,0.08548028022050858,0.07848984748125076,0.07848984748125076
0.07655137032270432,0.07655137032270432,0.07103680819272995,0.07103680819272995
0.07137533277273178,0.07137533277273178,0.06537596136331558,0.06537596136331558
0.06833243370056152,0.06833243370056152,0.062099650502204895,0.062099650502204895
0.0661376342177391,0.0661376342177391,0.05955523997545242,0.05955523997545242
0.06411794573068619,0.06411794573068619,0.058550875633955,0.058550875633955
0.06254284083843231,0.06254284083843231,0.05655137076973915,0.05655137076973915
0.061863258481025696,0.061863258481025696,0.056777939200401306,0.056777939200401306
0.06018338352441788,0.06018338352441788,0.055851783603429794,0.055851783603429794
0.05982520431280136,0.05982520431280136,0.05533567816019058,0.05533567816019058
0.059216830879449844,0.059216830879449844,0.05477779358625412,0.05477779358625412
0.05851133540272713,0.05851133540272713,0.0535886250436306,0.0535886250436306
0.057987380772829056,0.057987380772829056,0.05397096648812294,0.05397096648812294
0.0575454905629158,0.0575454905629158,0.05336328595876694,0.05336328595876694
0.05737646296620369,0.05737646296620369,0.053344324231147766,0.053344324231147766
0.05652821063995361,0.05652821063995361,0.05250982195138931,0.05250982195138931
0.056355055421590805,0.056355055421590805,0.05337285250425339,0.05337285250425339
0.05596797168254852,0.05596797168254852,0.05238586664199829,0.05238586664199829
0.055850278586149216,0.055850278586149216,0.05289199948310852,0.05289199948310852
0.05521325394511223,0.05521325394511223,0.05170612409710884,0.05170612409710884
0.05514375865459442,0.05514375865459442,0.051380619406700134,0.051380619406700134
0.055036239326000214,0.055036239326000214,0.05113356187939644,0.05113356187939644
0.05451345816254616,0.05451345816254616,0.050750330090522766,0.050750330090522766
0.05451018735766411,0.05451018735766411,0.0503406785428524,0.0503406785428524
0.05403352528810501,0.05403352528810501,0.05032196268439293,0.05032196268439293
0.05405530333518982,0.05405530333518982,0.04984935000538826,0.04984935000538826
0.05395499989390373,0.05395499989390373,0.05085087567567825,0.05085087567567825
0.05347616598010063,0.05347616598010063,0.050241049379110336,0.050241049379110336
0.053242508322000504,0.053242508322000504,0.05081859230995178,0.05081859230995178
