YYYYMMDD,HH,NO2
20160114,0,42.41
20160114,1,57.53
20160114,2,37.99
20160114,3,28.04
20160114,4,23.23
20160114,5,19.51
20160114,6,19.46
20160114,7,24.56
20160114,8,30.93
20160114,9,28.17
20160114,10,23.94
20160114,11,30.98
20160114,12,33.7
20160114,13,29.08
20160114,14,31.08
20160114,15,36.94
20160114,16,39.35
20160114,17,30.9
20160114,18,32.67
20160114,19,38.96
20160114,20,37.58
20160114,21,23.83
20160114,22,16.78
20160114,23,16.54
20160115,0,15.93
20160115,1,16.36
20160115,2,13.75
20160115,3,9.97
20160115,4,8.83
20160115,5,7.61
20160115,6,7.6
20160115,7,15.95
20160115,8,36.49
20160115,9,52.37
20160115,10,57.97
20160115,11,45.14
20160115,12,30.02
20160115,13,27.92
20160115,14,27.36
20160115,15,31.79
20160115,16,27.3
20160115,17,26.13
20160115,18,28.64
20160115,19,30.91
20160115,20,35.59
20160115,21,38.89
20160115,22,31.79
20160115,23,37.55
20160116,0,51.23
20160116,1,52.85
20160116,2,52.7
20160116,3,45.41
20160116,4,30.63
20160116,5,19.45
20160116,6,14.99
20160116,7,15.67
20160116,8,10.63
20160116,9,6.19
20160116,10,7.62
20160116,11,6.74
20160116,12,7.36
20160116,13,9.48
20160116,14,6.74
20160116,15,8.62
20160116,16,8.88
20160116,17,10.65
20160116,18,24.33
20160116,19,32.45
20160116,20,18.35
20160116,21,14.34
20160116,22,17.53
20160116,23,14.93
20160117,0,11.4
20160117,1,16.01
20160117,2,4.68
20160117,3,3.4
20160117,4,3.59
20160117,5,3.6
20160117,6,3.56
20160117,7,3.98
20160117,8,11.14
20160117,9,14.69
20160117,10,27.02
20160117,11,21.0
20160117,12,16.74
20160117,13,8.72
20160117,14,7.78
20160117,15,6.53
20160117,16,8.5
20160117,17,16.64
20160117,18,45.16
20160117,19,66.02
20160117,20,74.02
20160117,21,67.93
20160117,22,63.15
20160117,23,53.61
20160118,0,57.55
20160118,1,52.02
20160118,2,46.08
20160118,3,40.8
20160118,4,38.24
20160118,5,41.59
20160118,6,46.57
20160118,7,52.16
20160118,8,56.8
20160118,9,58.12
20160118,10,53.28
20160118,11,45.3
20160118,12,35.87
20160118,13,34.12
20160118,14,34.61
20160118,15,33.75
20160118,16,42.88
20160118,17,59.31
20160118,18,68.38
20160118,19,65.58
20160118,20,67.28
20160118,21,70.11
20160118,22,69.32
20160118,23,65.25
20160119,0,62.79
20160119,1,58.18
20160119,2,56.18
20160119,3,53.78
20160119,4,51.01
20160119,5,51.13
